fecha;ccl;mep;informal
02/01/2013;6.66985;0;6.89
03/01/2013;6.68224;0;7.05
04/01/2013;6.81818;0;7.02
07/01/2013;6.82996;0;7.02
08/01/2013;6.87364;0;7.03
09/01/2013;7.03486;0;7.1
10/01/2013;7.03163;0;7.22
11/01/2013;7.12905;0;7.18
14/01/2013;7.16339;0;7.23
15/01/2013;7.18499;0;7.34
16/01/2013;7.2497;0;7.47
17/01/2013;7.32717;0;7.49
18/01/2013;7.30937;0;7.46
22/01/2013;7.34545;0;7.41
23/01/2013;7.38112;0;7.5
24/01/2013;7.46163;0;7.54
25/01/2013;7.5089;0;7.6
28/01/2013;7.52531;0;7.64
29/01/2013;7.61566;0;7.77
30/01/2013;7.67958;0;7.89
01/02/2013;7.71333;0;7.9
04/02/2013;7.82609;0;7.7
05/02/2013;7.86641;0;7.56
06/02/2013;7.76996;0;7.68
07/02/2013;7.7003;0;7.65
08/02/2013;7.75572;0;7.65
13/02/2013;7.68655;0;7.63
14/02/2013;7.70777;0;7.64
15/02/2013;7.61671;0;7.69
19/02/2013;7.71534;0;7.79
21/02/2013;7.75239;0;7.81
22/02/2013;7.67029;0;7.78
25/02/2013;7.72858;0;7.76
26/02/2013;7.93809;0;7.8
27/02/2013;7.82051;0;7.8
28/02/2013;7.78308;0;7.82
01/03/2013;8.08438;0;7.82
04/03/2013;8.05515;0;7.8
05/03/2013;7.9201;0;7.8
06/03/2013;8.05542;0;7.81
07/03/2013;8.03153;0;7.8
08/03/2013;8.15231;0;7.81
11/03/2013;8.19873;0;7.8
12/03/2013;8.32721;0;7.82
13/03/2013;8.33948;0;7.9
14/03/2013;8.36228;0;7.97
15/03/2013;8.46529;0;8.03
18/03/2013;8.49436;0;8.06
19/03/2013;8.44046;0;8.25
20/03/2013;8.36943;0;8.7
21/03/2013;8.47656;0;8.4
22/03/2013;8.58568;0;8.42
25/03/2013;8.40108;0;8.22
26/03/2013;8.47516;0;8.25
27/03/2013;8.49878;0;8.38
03/04/2013;8.54049;0;8.25
04/04/2013;8.43712;0;8.3
05/04/2013;8.40841;0;8.37
08/04/2013;8.445;0;8.3
09/04/2013;8.43581;0;8.34
10/04/2013;8.48061;0;8.37
11/04/2013;8.51576;0;8.42
12/04/2013;8.6343;0;8.41
15/04/2013;8.73405;0;8.4
16/04/2013;8.87055;0;8.5
17/04/2013;8.93436;0;8.67
18/04/2013;9.05157;0;8.63
19/04/2013;9.04178;0;8.6
22/04/2013;8.92989;0;8.63
23/04/2013;8.92554;0;8.82
24/04/2013;8.90378;0;8.91
25/04/2013;8.85162;0;9.16
26/04/2013;9.0093;0;9.3
29/04/2013;9.16455;0;9.27
30/04/2013;9.21083;0;9.37
02/05/2013;9.31332;0;9.6
03/05/2013;9.30871;0;9.84
06/05/2013;9.47233;0;9.83
07/05/2013;9.42529;0;10.04
08/05/2013;9.54376;0;10.4
